ateco_code,risk_level,description
32.11.00,alto,Coniazione di monete RISCHIO
32.12.20,alto,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale RISCHIO
32.13.01,alto,Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi) RISCHIO
32.13.09,alto,Fabbricazione di bigiotteria e articoli simili nca RISCHIO
32.20.00,alto,Fabbricazione di strumenti musicali (incluse parti e accessori) RISCHIO
32.30.00,alto,Fabbricazione di articoli sportivi RISCHIO
32.40.10,alto,Fabbricazione di giochi (inclusi i giochi elettronici) RISCHIO
32.40.20,alto,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo) RISCHIO
32.50.11,alto,Fabbricazione di materiale medico-chirurgico e veterinario RISCHIO
32.50.13,alto,"Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario RISCHIO"
32.50.14,alto,Fabbricazione di centrifughe per laboratori RISCHIO
32.50.20,alto,Fabbricazione di protesi dentarie (inclusa riparazione) RISCHIO
32.50.30,alto,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione) RISCHIO"
32.50.40,alto,Fabbricazione di lenti oftalmiche RISCHIO
32.50.50,alto,Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di RISCHIO
32.91.00,alto,Fabbricazione di scope e spazzole RISCHIO
32.99.11,alto,Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza RISCHIO
32.99.12,alto,Fabbricazione di articoli in plastica per la sicurezza personale RISCHIO
32.99.13,alto,Fabbricazione di articoli in metallo per la sicurezza personale RISCHIO
32.99.14,alto,Fabbricazione di maschere antigas RISCHIO
32.99.19,alto,Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza RISCHIO
32.99.20,alto,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini RISCHIO"
32.99.30,alto,Fabbricazione di oggetti di cancelleria RISCHIO
32.99.40,alto,Fabbricazione di casse funebri RISCHIO
32.99.90,alto,Fabbricazione di altri articoli nca RISCHIO
33.11.01,alto,"Riparazione e manutenzione di stampi, portastampi, sagome, forme per RISCHIO"
33.11.02,alto,Riparazione e manutenzione di utensileria ad azionamento manuale RISCHIO
33.11.03,alto,"Riparazione e manutenzione di armi, sistemi d'arma e munizioni RISCHIO"
33.11.04,alto,"Riparazione e manutenzione di casseforti, forzieri, porte metalliche blindate RISCHIO"
33.11.05,alto,Riparazione e manutenzione di armi bianche RISCHIO
33.11.06,alto,Riparazione e manutenzione di container RISCHIO
33.11.07,alto,Riparazione e manutenzione di carrelli per la spesa RISCHIO
33.11.09,alto,Riparazione e manutenzione di altri prodotti in metallo RISCHIO
33.12.10,alto,Riparazione e manutenzione di macchine di impiego generale RISCHIO
33.12.20,alto,"Riparazione e manutenzione di forni, fornaci e bruciatori RISCHIO"
33.12.30,alto,Riparazione e manutenzione di macchine e apparecchi di sollevamento e RISCHIO
33.12.40,alto,Riparazione e manutenzione di attrezzature di uso non domestico per la RISCHIO
33.12.51,alto,Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi RISCHIO
33.12.52,alto,Riparazione e manutenzione di bilance e macchine automatiche per la vendita e RISCHIO
33.12.53,alto,"Riparazione e manutenzione di macchine per le industrie chimiche, RISCHIO"
33.12.54,alto,"Riparazione e manutenzione di macchine per la dosatura, la confezione e RISCHIO"
33.12.55,alto,Riparazione e manutenzione di estintori (inclusa la ricarica) RISCHIO
33.12.59,alto,Riparazione e manutenzione di altre macchine di impiego generale nca RISCHIO
33.12.60,alto,Riparazione e manutenzione di trattori agricoli RISCHIO
33.12.70,alto,"Riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la RISCHIO"
33.12.91,alto,Riparazione e manutenzione di parti intercambiabili per macchine utensili RISCHIO
33.12.92,alto,"Riparazione e manutenzione di giostre, altalene, padiglioni da tiro al bersaglio ed RISCHIO"
33.12.99,alto,Riparazione e manutenzione di altre macchine per impieghi speciali nca (incluse le RISCHIO
33.13.01,alto,"Riparazione e manutenzione di apparecchiature ottiche, fotografiche e RISCHIO"
33.13.03,alto,"Riparazione e manutenzione di apparecchi elettromedicali, di materiale medico- RISCHIO"
33.13.04,alto,"Riparazione e manutenzione di apparati di distillazione per laboratori, di RISCHIO"
33.13.09,alto,Riparazione e manutenzione di altre apparecchiature elettroniche (escluse quelle RISCHIO
33.14.00,alto,Riparazione e manutenzione di apparecchiature elettriche (esclusi gli RISCHIO
33.15.00,alto,Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto RISCHIO
33.16.00,alto,Riparazione e manutenzione di aeromobili e di veicoli spaziali RISCHIO
33.17.00,alto,"Riparazione e manutenzione di materiale rotabile ferroviario, tranviario, filoviario RISCHIO"
33.19.01,alto,Riparazioni di pallets e contenitori in legno per trasporto RISCHIO
33.19.02,alto,Riparazione di prodotti in gomma RISCHIO
33.19.03,alto,Riparazione di articoli in vetro RISCHIO
33.19.04,alto,Riparazioni di altri prodotti in legno nca RISCHIO
33.19.09,alto,Riparazione di altre apparecchiature nca RISCHIO
33.20.01,alto,"Installazione di motori, generatori e trasformatori elettrici; di apparecchiature per RISCHIO"
33.20.02,alto,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di RISCHIO"
33.20.03,alto,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, RISCHIO"
33.20.04,alto,"Installazione di cisterne, serbatoi e contenitori in metallo RISCHIO"
33.20.05,alto,Installazione di generatori di vapore (escluse le caldaie per il riscaldamento RISCHIO
33.20.06,alto,"Installazione di macchine per ufficio, di mainframe e computer simili RISCHIO"
33.20.07,alto,"Installazione di apparecchi medicali, di apparecchi e strumenti per odontoiatria RISCHIO"
33.20.08,alto,Installazione di apparecchi elettromedicali RISCHIO
33.20.09,alto,Installazione di altre macchine ed apparecchiature industriali RISCHIO
35.11.00,alto,Produzione di energia elettrica RISCHIO
35.12.00,alto,Trasmissione di energia elettrica RISCHIO
35.13.00,alto,Distribuzione di energia elettrica RISCHIO
35.14.00,alto,Commercio di energia elettrica RISCHIO
35.21.00,alto,Produzione di gas RISCHIO
35.22.00,alto,Distribuzione di combustibili gassosi mediante condotte RISCHIO
35.23.00,alto,Commercio di gas distribuito mediante condotte RISCHIO
35.30.00,alto,Fornitura di vapore e aria condizionata RISCHIO
36.00.00,alto,"Raccolta, trattamento e fornitura di acqua RISCHIO"
37.00.00,alto,Raccolta e depurazione delle acque di scarico RISCHIO
38.11.00,alto,Raccolta di rifiuti solidi non pericolosi RISCHIO
38.12.00,alto,Raccolta di rifiuti pericolosi solidi e non solidi RISCHIO
38.21.01,alto,Produzione di compost RISCHIO
38.21.09,alto,Trattamento e smaltimento di altri rifiuti non pericolosi RISCHIO
38.22.00,alto,Trattamento e smaltimento di rifiuti pericolosi RISCHIO
38.31.10,alto,Demolizione di carcasse RISCHIO
38.31.20,alto,Cantieri di demolizione navali RISCHIO
38.32.10,alto,Recupero e preparazione per il riciclaggio di cascami e rottami metallici RISCHIO
39.00.01,alto,Attività di rimozione di strutture ed elementi in amianto specializzata per l'edilizia RISCHIO
39.00.09,alto,Altre attività di risanamento e altri servizi di gestione dei rifiuti RISCHIO
41.10.00,alto,Sviluppo di progetti immobiliari senza costruzione RISCHIO
41.20.00,alto,Costruzione di edifici residenziali e non residenziali RISCHIO
42.11.00,alto,"Costruzione di strade, autostrade e piste aeroportuali RISCHIO"
42.12.00,alto,Costruzione di linee ferroviarie e metropolitane RISCHIO
42.13.00,alto,Costruzione di ponti e gallerie RISCHIO
42.21.00,alto,Costruzione di opere di pubblica utilità per il trasporto di fluidi RISCHIO
42.22.00,alto,Costruzione di opere di pubblica utilità per l'energia elettrica e le RISCHIO
42.91.00,alto,Costruzione di opere idrauliche RISCHIO
42.99.01,alto,Lottizzazione dei terreni connessa con l'urbanizzazione RISCHIO
42.99.09,alto,Altre attività di costruzione di altre opere di ingegneria civile nca RISCHIO
43.11.00,alto,Demolizione RISCHIO
43.12.00,alto,Preparazione del cantiere edile e sistemazione del terreno RISCHIO
43.13.00,alto,Trivellazioni e perforazioni RISCHIO
43.21.02,alto,Installazione di impianti elettronici (inclusa manutenzione e riparazione) RISCHIO
43.22.02,alto,Installazione di impianti per la distribuzione del gas (inclusa manutenzione e RISCHIO
43.22.04,alto,Installazione di impianti di depurazione per piscine (inclusa manutenzione e RISCHIO
43.22.05,alto,Installazione di impianti di irrigazione per giardini (inclusa manutenzione e RISCHIO
43.29.01,alto,"Installazione, riparazione e manutenzione di ascensori e scale mobili RISCHIO"
43.29.02,alto,"Lavori di isolamento termico, acustico o antivibrazioni RISCHIO"
43.29.09,alto,Altri lavori di costruzione e installazione nca RISCHIO
43.31.00,alto,Intonacatura e stuccatura RISCHIO
43.32.01,alto,"Posa in opera di casseforti, forzieri, porte blindate RISCHIO"
43.32.02,alto,"Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili RISCHIO"
43.33.00,alto,Rivestimento di pavimenti e di muri RISCHIO
43.34.00,alto,Tinteggiatura e posa in opera di vetri RISCHIO
43.39.01,alto,Attività non specializzate di lavori edili (muratori) RISCHIO
43.39.09,alto,Altri lavori di completamento e di finitura degli edifici nca RISCHIO
43.91.00,alto,Realizzazione di coperture RISCHIO
43.99.01,alto,"Pulizia a vapore, sabbiatura e attività simili per pareti esterne di edifici RISCHIO"
43.99.02,alto,Noleggio di gru ed altre attrezzature con operatore per la costruzione o la RISCHIO
43.99.09,alto,Altre attività di lavori specializzati di costruzione nca RISCHIO
45.11.01,basso,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri RISCHIO
45.19.01,basso,Commercio all'ingrosso e al dettaglio di altri autoveicoli RISCHIO
45.19.02,basso,Intermediari del commercio di altri autoveicoli (incluse le agenzie di RISCHIO
45.20.10,basso,Riparazioni meccaniche di autoveicoli RISCHIO
45.20.20,basso,Riparazione di carrozzerie di autoveicoli RISCHIO
45.20.30,basso,Riparazione di impianti elettrici e di alimentazione per autoveicoli RISCHIO
45.20.40,basso,Riparazione e sostituzione di pneumatici per autoveicoli RISCHIO
45.20.91,basso,Lavaggio auto RISCHIO
45.20.99,basso,Altre attività di manutenzione e di riparazione di autoveicoli RISCHIO
45.31.01,basso,Commercio all'ingrosso di parti e accessori di autoveicoli RISCHIO
45.31.02,basso,Intermediari del commercio di parti ed accessori di autoveicoli RISCHIO
45.32.00,basso,Commercio al dettaglio di parti e accessori di autoveicoli RISCHIO
45.40.11,basso,Commercio all'ingrosso e al dettaglio di motocicli e ciclomotori RISCHIO
45.40.12,basso,Intermediari del commercio di motocicli e ciclomotori RISCHIO
45.40.21,basso,Commercio all'ingrosso e al dettaglio di parti e accessori per motocicli e RISCHIO
45.40.22,basso,Intermediari del commercio di parti ed accessori di motocicli e ciclomotori RISCHIO
45.40.30,basso,Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici) RISCHIO
46.11.01,basso,Agenti e rappresentanti di materie prime agricole RISCHIO
46.11.02,basso,Agenti e rappresentanti di fiori e piante RISCHIO
46.11.03,basso,Agenti e rappresentanti di animali vivi RISCHIO
46.11.04,basso,Agenti e rappresentanti di fibre tessili gregge e semilavorate; pelli grezze RISCHIO
46.11.06,basso,"Mediatori in materie prime agricole, materie prime e semilavorati tessili; pelli RISCHIO"
46.11.07,basso,Mediatori in animali vivi RISCHIO
46.12.01,basso,"Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti RISCHIO"
46.12.02,basso,Agenti e rappresentanti di combustibili solidi RISCHIO
46.12.03,basso,"Agenti e rappresentanti di minerali, metalli e prodotti semilavorati RISCHIO"
46.12.04,basso,Agenti e rappresentanti di prodotti chimici per l'industria RISCHIO
46.12.05,basso,Agenti e rappresentanti di prodotti chimici per l'agricoltura (inclusi i fertilizzanti) RISCHIO
46.12.06,basso,"Procacciatori d'affari di combustibili, minerali, metalli e prodotti chimici RISCHIO"
46.12.07,basso,"Mediatori in combustibili, minerali, metalli e prodotti chimici RISCHIO"
46.13.01,basso,"Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale RISCHIO"
46.13.04,basso,Procacciatori d'affari di legname e materiali da costruzione RISCHIO
46.13.05,basso,Mediatori in legname e materiali da costruzione RISCHIO
46.14.02,basso,Agenti e rappresentanti di macchine per costruzioni edili e stradali RISCHIO
46.14.04,basso,Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i RISCHIO
46.15.01,basso,"Agenti e rappresentanti di mobili in legno, metallo e materie plastiche RISCHIO"
46.15.02,basso,Agenti e rappresentanti di articoli di ferramenta e di bricolage RISCHIO
46.15.03,basso,"Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera RISCHIO"
46.15.04,basso,"Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi RISCHIO"
46.15.06,basso,"Procacciatori d'affari di mobili, articoli per la casa e ferramenta RISCHIO"
46.15.07,basso,"Mediatori in mobili, articoli per la casa e ferramenta RISCHIO"
46.16.01,basso,Agenti e rappresentanti di vestiario ed accessori di abbigliamento RISCHIO
46.16.02,basso,Agenti e rappresentanti di pellicce RISCHIO
46.16.04,basso,"Agenti e rappresentanti di camicie, biancheria e maglieria intima RISCHIO"
46.16.05,basso,Agenti e rappresentanti di calzature ed accessori RISCHIO
46.16.06,basso,"Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio RISCHIO"
46.16.07,basso,"Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi RISCHIO"
46.16.08,basso,"Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e RISCHIO"
46.16.09,basso,"Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle RISCHIO"
46.17.01,basso,"Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati RISCHIO"
46.17.02,basso,"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e RISCHIO"
46.17.03,basso,"Agenti e rappresentanti di latte, burro e formaggi RISCHIO"
46.17.05,basso,Agenti e rappresentanti di bevande e prodotti similari RISCHIO
46.17.06,basso,"Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e RISCHIO"
46.17.08,basso,"Procacciatori d'affari di prodotti alimentari, bevande e tabacco RISCHIO"
46.17.09,basso,"Mediatori in prodotti alimentari, bevande e tabacco RISCHIO"
46.18.12,basso,Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi RISCHIO
46.18.13,basso,"Procacciatori d'affari di prodotti di carta, cancelleria, libri RISCHIO"
46.18.14,basso,"Mediatori in prodotti di carta, cancelleria, libri RISCHIO"
46.18.22,basso,Agenti e rappresentanti di apparecchi elettrodomestici RISCHIO
46.18.31,basso,Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso RISCHIO
46.18.34,basso,Procacciatori d'affari di prodotti farmaceutici e di cosmetici RISCHIO
46.18.35,basso,Mediatori in prodotti farmaceutici e cosmetici RISCHIO
46.18.91,basso,Agenti e rappresentanti di attrezzature sportive; biciclette RISCHIO
46.18.92,basso,"Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e RISCHIO"
46.18.94,basso,"Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili RISCHIO"
46.18.95,basso,Agenti e rappresentanti di giocattoli RISCHIO
46.18.96,basso,Agenti e rappresentanti di chincaglieria e bigiotteria RISCHIO
46.18.98,basso,"Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca RISCHIO"
46.18.99,basso,"Mediatori in attrezzature sportive, biciclette e altri prodotti nca RISCHIO"
46.19.01,basso,Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno RISCHIO
46.19.02,basso,Procacciatori d'affari di vari prodotti senza prevalenza di alcuno RISCHIO
46.19.03,basso,Mediatori in vari prodotti senza prevalenza di alcuno RISCHIO
46.19.04,basso,Gruppi di acquisto; mandatari agli acquisti; buyer RISCHIO
46.21.10,basso,Commercio all'ingrosso di cereali e legumi secchi RISCHIO
46.21.21,basso,Commercio all'ingrosso di tabacco grezzo RISCHIO
46.22.00,basso,Commercio all'ingrosso di fiori e piante RISCHIO
46.23.00,basso,Commercio all'ingrosso di animali vivi RISCHIO
46.24.10,basso,Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per RISCHIO
46.24.20,basso,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria RISCHIO
46.31.10,basso,Commercio all'ingrosso di frutta e ortaggi freschi RISCHIO
46.31.20,basso,Commercio all'ingrosso di frutta e ortaggi conservati RISCHIO
46.32.10,basso,"Commercio all'ingrosso di carne fresca, congelata e surgelata RISCHIO"
46.32.20,basso,Commercio all'ingrosso di prodotti di salumeria RISCHIO
46.33.10,basso,Commercio all'ingrosso di prodotti lattiero-caseari e di uova RISCHIO
46.33.20,basso,Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale RISCHIO
46.34.10,basso,Commercio all'ingrosso di bevande alcoliche RISCHIO
46.34.20,basso,Commercio all'ingrosso di bevande non alcoliche RISCHIO
46.35.00,basso,Commercio all'ingrosso di prodotti del tabacco RISCHIO
46.36.00,basso,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno RISCHIO"
46.37.01,basso,Commercio all'ingrosso di caffè RISCHIO
46.37.02,basso,"Commercio all'ingrosso di tè, cacao e spezie RISCHIO"
46.38.10,basso,Commercio all'ingrosso di prodotti della pesca freschi RISCHIO
46.38.20,basso,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, RISCHIO"
46.38.30,basso,Commercio all'ingrosso di pasti e piatti pronti RISCHIO
46.38.90,basso,Commercio all'ingrosso di altri prodotti alimentari RISCHIO
46.39.10,basso,Commercio all'ingrosso non specializzato di prodotti surgelati RISCHIO
46.39.20,basso,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e RISCHIO"
46.41.10,basso,Commercio all'ingrosso di tessuti RISCHIO
46.41.20,basso,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria RISCHIO"
46.41.90,basso,Commercio all'ingrosso di altri articoli tessili RISCHIO
46.42.10,basso,Commercio all'ingrosso di abbigliamento e accessori RISCHIO
46.42.20,basso,Commercio all'ingrosso di articoli in pelliccia RISCHIO
46.42.30,basso,"Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili RISCHIO"
46.42.40,basso,Commercio all'ingrosso di calzature e accessori RISCHIO
46.43.10,basso,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e RISCHIO"
46.43.20,basso,"Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri RISCHIO"
46.43.30,basso,"Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica RISCHIO"
46.44.10,basso,Commercio all'ingrosso di vetreria e cristalleria RISCHIO
46.44.20,basso,Commercio all'ingrosso di ceramiche e porcellana RISCHIO
46.44.30,basso,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia RISCHIO"
46.44.40,basso,"Commercio all'ingrosso di coltelleria, posateria e pentolame RISCHIO"
46.45.00,basso,Commercio all'ingrosso di profumi e cosmetici RISCHIO
46.46.10,basso,Commercio all'ingrosso di medicinali RISCHIO
46.46.20,basso,Commercio all'ingrosso di prodotti botanici per uso farmaceutico RISCHIO
46.46.30,basso,Commercio all'ingrosso di articoli medicali ed ortopedici RISCHIO
46.47.10,basso,Commercio all'ingrosso di mobili di qualsiasi materiale RISCHIO
46.47.20,basso,Commercio all'ingrosso di tappeti RISCHIO
46.48.00,basso,Commercio all'ingrosso di orologi e di gioielleria RISCHIO
46.49.10,basso,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria RISCHIO"
46.49.20,basso,"Commercio all'ingrosso di libri, riviste e giornali RISCHIO"
46.49.30,basso,Commercio all'ingrosso di giochi e giocattoli RISCHIO
46.49.40,basso,Commercio all'ingrosso di articoli sportivi (incluse le biciclette) RISCHIO
46.49.50,basso,Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale RISCHIO
46.49.90,basso,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca RISCHIO
46.51.00,basso,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e RISCHIO"
46.52.01,basso,Commercio all'ingrosso di apparecchi e materiali telefonici RISCHIO
46.52.02,basso,Commercio all'ingrosso di nastri non registrati RISCHIO
46.61.00,basso,"Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori RISCHIO"
46.62.00,basso,Commercio all'ingrosso di macchine utensili (incluse le relative parti RISCHIO
46.63.00,basso,"Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile RISCHIO"
46.65.00,basso,Commercio all'ingrosso di mobili per ufficio e negozi RISCHIO
46.66.00,basso,Commercio all'ingrosso di altre macchine e attrezzature per ufficio RISCHIO
46.69.11,basso,Commercio all'ingrosso di imbarcazioni da diporto RISCHIO
46.69.19,basso,Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto RISCHIO
46.69.20,basso,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale RISCHIO
46.69.91,basso,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso RISCHIO
46.69.92,basso,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non RISCHIO
46.69.93,basso,Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi RISCHIO
46.69.94,basso,Commercio all'ingrosso di articoli antincendio e antinfortunistici RISCHIO
46.72.10,basso,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti RISCHIO"
46.72.20,basso,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati RISCHIO
46.73.10,basso,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale RISCHIO"
46.73.21,basso,Commercio all'ingrosso di moquette e linoleum RISCHIO
46.73.23,basso,Commercio all'ingrosso di infissi RISCHIO
46.73.29,basso,Commercio all'ingrosso di altri materiali da costruzione RISCHIO
46.73.30,basso,Commercio all'ingrosso di vetro piano RISCHIO
46.73.40,basso,"Commercio all'ingrosso di carta da parati, colori e vernici RISCHIO"
46.74.10,basso,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) RISCHIO
46.75.01,basso,Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura RISCHIO
46.75.02,basso,Commercio all'ingrosso di prodotti chimici per l'industria RISCHIO
46.76.10,basso,Commercio all'ingrosso di fibre tessili gregge e semilavorate RISCHIO
46.76.30,basso,Commercio all'ingrosso di imballaggi RISCHIO
46.76.90,basso,Commercio all'ingrosso di altri prodotti intermedi nca RISCHIO
46.77.10,basso,Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale RISCHIO
46.90.00,basso,Commercio all'ingrosso non specializzato RISCHIO
47.11.10,basso,Ipermercati RISCHIO
47.11.20,basso,Supermercati RISCHIO
47.11.30,basso,Discount di alimentari RISCHIO
47.11.40,basso,Minimercati ed altri esercizi non specializzati di alimentari vari RISCHIO
47.11.50,basso,Commercio al dettaglio di prodotti surgelati RISCHIO
47.19.10,basso,Grandi magazzini RISCHIO
47.19.90,basso,Empori ed altri negozi non specializzati di vari prodotti non alimentari RISCHIO
47.21.01,basso,Commercio al dettaglio di frutta e verdura fresca RISCHIO
47.21.02,basso,Commercio al dettaglio di frutta e verdura preparata e conservata RISCHIO
47.22.00,basso,Commercio al dettaglio di carni e di prodotti a base di carne RISCHIO
47.23.00,basso,"Commercio al dettaglio di pesci, crostacei e molluschi RISCHIO"
47.24.10,basso,Commercio al dettaglio di pane RISCHIO
47.24.20,basso,"Commercio al dettaglio di torte, dolciumi, confetteria RISCHIO"
47.25.00,basso,Commercio al dettaglio di bevande RISCHIO
47.26.00,basso,Commercio al dettaglio di generi di monopolio (tabaccherie) RISCHIO
47.29.10,basso,Commercio al dettaglio di latte e di prodotti lattiero-caseari RISCHIO
47.29.20,basso,Commercio al dettaglio di caffè torrefatto RISCHIO
47.29.30,basso,Commercio al dettaglio di prodotti macrobiotici e dietetici RISCHIO
47.29.90,basso,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca RISCHIO
47.30.00,basso,Commercio al dettaglio di carburante per autotrazione RISCHIO
47.43.00,basso,Commercio al dettaglio di apparecchi audio e video in esercizi specializzati RISCHIO
47.51.20,basso,Commercio al dettaglio di filati per maglieria e merceria RISCHIO
47.52.20,basso,Commercio al dettaglio di articoli igienico-sanitari RISCHIO
47.52.30,basso,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle RISCHIO"
47.53.11,basso,Commercio al dettaglio di tende e tendine RISCHIO
47.53.12,basso,Commercio al dettaglio di tappeti RISCHIO
47.54.00,basso,Commercio al dettaglio di elettrodomestici in esercizi specializzati RISCHIO
47.59.10,basso,Commercio al dettaglio di mobili per la casa RISCHIO
47.59.20,basso,"Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame RISCHIO"
47.59.30,basso,Commercio al dettaglio di articoli per l'illuminazione RISCHIO
47.59.40,basso,Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico RISCHIO
47.59.50,basso,Commercio al dettaglio di sistemi di sicurezza RISCHIO
47.59.60,basso,Commercio al dettaglio di strumenti musicali e spartiti RISCHIO
47.59.99,basso,Commercio al dettaglio di altri articoli per uso domestico nca RISCHIO
47.61.00,basso,Commercio al dettaglio di libri nuovi in esercizi specializzati RISCHIO
47.62.10,basso,"Commercio al dettaglio di giornali, riviste e periodici RISCHIO"
47.62.20,basso,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio RISCHIO
47.63.00,basso,Commercio al dettaglio di registrazioni musicali e video in esercizi specializzati RISCHIO
47.64.10,basso,"Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero RISCHIO"
47.64.20,basso,Commercio al dettaglio di natanti e accessori RISCHIO
47.65.00,basso,Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici) RISCHIO
47.71.10,basso,Commercio al dettaglio di confezioni per adulti RISCHIO
47.71.20,basso,Commercio al dettaglio di confezioni per bambini e neonati RISCHIO
47.71.30,basso,"Commercio al dettaglio di biancheria personale, maglieria, camicie RISCHIO"
47.71.40,basso,Commercio al dettaglio di pellicce e di abbigliamento in pelle RISCHIO
47.71.50,basso,"Commercio al dettaglio di cappelli, ombrelli, guanti e cravatte RISCHIO"
47.72.10,basso,Commercio al dettaglio di calzature e accessori RISCHIO
47.72.20,basso,Commercio al dettaglio di articoli di pelletteria e da viaggio RISCHIO
47.73.10,basso,Farmacie RISCHIO
47.74.00,basso,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati RISCHIO
47.75.10,basso,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene RISCHIO"
47.75.20,basso,Erboristerie RISCHIO
47.76.10,basso,Commercio al dettaglio di fiori e piante RISCHIO
47.76.20,basso,Commercio al dettaglio di piccoli animali domestici RISCHIO
47.77.00,basso,"Commercio al dettaglio di orologi, articoli di gioielleria e argenteria RISCHIO"
47.78.10,basso,Commercio al dettaglio di mobili per ufficio RISCHIO
47.78.20,basso,Commercio al dettaglio di materiale per ottica e fotografia RISCHIO
47.78.31,basso,Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte) RISCHIO
47.78.32,basso,Commercio al dettaglio di oggetti d'artigianato RISCHIO
47.78.33,basso,Commercio al dettaglio di arredi sacri ed articoli religiosi RISCHIO
47.78.34,basso,Commercio al dettaglio di articoli da regalo e per fumatori RISCHIO
47.78.35,basso,Commercio al dettaglio di bomboniere RISCHIO
47.78.37,basso,Commercio al dettaglio di articoli per le belle arti RISCHIO
47.78.40,basso,Commercio al dettaglio di combustibile per uso domestico e per riscaldamento RISCHIO
